symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
ADAUSDT,12,-0.4558172087447776,-5.469806504937331,2.9896908407572385,0.5833333333333334,-8.459497345694569,,1322,252253826.3764,0.8764006719792905,-0.27942353883106485,-0.883056640625,-0.853515625,3.1828134315757484,A 密集突破
ZRXUSDT,11,-0.5006919124164448,-5.507611036580893,2.9894443641523565,0.5454545454545454,-8.497055400733249,,1322,9459269.312479999,0.996546861948066,-0.4890365448504983,-0.9441053173494153,-0.9434434066338163,1.7938191073146788,A 密集突破
BNTUSDT,7,-0.7946595326604852,-5.5626167286233965,0.4950531602099667,0.42857142857142855,-6.057669888833363,,1101,2526440.66745,0.8392767414797341,-0.5824442289039768,-0.832663898155082,-0.8241541289400232,1.0196882746783218,A 密集突破
MTLUSDT,10,-0.6115888606187865,-6.115888606187864,2.99090361062999,0.3,-9.106792216817855,,1322,7187870.49945,0.8164687599328915,-0.7314640844052609,-0.932873297445717,-0.932873297445717,0.21239253262579502,A 密集突破
ZILUSDT,8,-0.7755020079566199,-6.2040160636529595,0.855345262068428,0.75,-7.059361325721388,,1322,10137250.22841,0.8220436582446768,-0.8575906576521205,-0.9428465712876172,-0.9428465712876172,0.1483737195531204,A 密集突破
PEOPLEUSDT,7,-1.0064237533924278,-7.044966273746995,-1.0052290682166203,0.2857142857142857,-7.044966273746995,,1322,27241667.645165,1.3445193909906537,-0.6244938271604938,-0.9632509618230246,-0.9437407517016869,2.119420238674406,A 密集突破
POLYXUSDT,7,-1.008470040098171,-7.059290280687197,-1.006490002647932,0.7142857142857143,-7.059290280687197,,1025,6608783.3762,1.0940993158501693,-0.8637352245862884,-0.955515767052032,-0.955515767052032,2.5420204826513433,A 密集突破
XVGUSDT,11,-0.6481716207938732,-7.129887828732605,2.982332888465205,0.45454545454545453,-10.112220717197811,,1137,5691604.919854,1.3176457981129641,-0.715386695511087,-0.9070481136668781,-0.8964742218353325,3.0886656171688904,A 密集突破
ACHUSDT,11,-0.7061286472830685,-7.767415120113753,2.324064564086228,0.2727272727272727,-10.091479684199982,,1270,11468328.295704499,1.0760650605765107,-0.908960810215764,-0.9199671258609894,-0.9190865685660614,1.6581719667790422,A 密集突破
XLMUSDT,12,-0.6810560655209986,-8.172672786251983,2.9930931301190875,0.6666666666666666,-11.16576591637107,,1322,47133555.544945,0.9106363792966862,1.180024831011174,-0.7446050851078982,-0.7186275906274482,4.329770968872128,A 密集突破
EDUUSDT,9,-1.0097367428412838,-9.087630685571554,-1.007027188110771,0.4444444444444444,-9.087630685571554,,1203,8419913.1231,1.138625909660472,-0.9700919455682236,-0.9815744920993228,-0.9713177200902935,1.598897081707918,A 密集突破
SFPUSDT,14,-1.0189643859413435,-14.265501403178808,-1.0104767694311767,0.42857142857142855,-14.265501403178808,,1322,4867222.714500001,0.6905369411321515,-0.4166457128488811,-0.7704416761041902,-0.7372593431483578,0.13061204988367991,A 密集突破
ASTRUSDT,6,2.3079498878831544,13.847699327298926,2.9903474623052673,0.8333333333333334,10.857351864993658,0.21594543552878773,1278,6607235.979049999,0.8584672642335706,-0.9431620154059857,-0.9764592050209205,-0.9764592050209205,0.13701312508739819,B 回踩20均线
WOOUSDT,6,2.299007008985623,13.794042053913738,2.9837474182604224,0.6666666666666666,10.810294635653316,0.21630696837072882,1322,8896104.26265,1.038661123125021,-0.9163273453093812,-0.9828500360018328,-0.9828500360018328,0.12293037574889441,B 回踩20均线
FILUSDT,8,1.4676428494062892,11.741142795250314,2.990344465894591,0.625,8.750798329355723,0.2546893873996904,1322,133843054.38069999,1.0174735850358523,-0.7808757244043786,-0.9416652136006974,-0.940662598081953,2.969620903874547,B 回踩20均线
FLOWUSDT,6,1.6363346812836037,9.818008087701623,2.9918441341212243,0.5,6.826163953580398,0.3047302576445126,1322,17081761.4157,0.9189415593278097,-0.9531354642313546,-0.9855103280680437,-0.9812940461725395,0.3442823175056058,B 回踩20均线
SUPERUSDT,3,2.981655865987786,8.944967597963357,2.9832058141536515,0.6666666666666666,5.961761783809706,0.3335066093289019,993,9751264.9038,1.1383971382347604,-0.7981835564053537,-0.9625950679880156,-0.9610785895367596,0.7609259175050482,B 回踩20均线
ARUSDT,7,1.2676766094568241,8.873736266197769,2.9918893082348137,0.7142857142857143,5.881846957962955,0.33716229764813405,1322,19627121.42515,1.1404429543765378,-0.7268154668343288,-0.9681109978574252,-0.9638466498866307,1.024887060126107,B 回踩20均线
GALAUSDT,7,1.2616141385042456,8.831298969529719,2.9836544119865733,0.42857142857142855,5.847644557543146,0.33785000624267825,1322,76961026.458125,1.0845588484491624,-0.9005334914048607,-0.980137731061979,-0.9797269542104627,1.0609996998966404,B 回踩20均线
QTUMUSDT,7,1.251939537224919,8.763576760574432,2.9890907835125944,0.5714285714285714,5.774485977061838,0.3410811435988,1322,8339795.3081,0.8349057563982167,-0.6353567625133121,-0.8898048100383409,-0.8806552805855699,0.5304104357210906,B 回踩20均线
JOEUSDT,5,1.3703928069266076,6.8519640346330375,2.9769914777029607,0.6,3.874972556930077,0.4344727238286498,1235,4622546.44095,1.0563353448108488,-0.9517085862966175,-0.979473125884017,-0.9753889674681754,1.1535358825504405,B 回踩20均线
GRTUSDT,5,1.3636283118880752,6.818141559440376,2.99274975906933,0.6,3.8253918003710456,0.43893922309746985,1322,22045720.50172,0.9833987274914805,-0.7605384342897626,-0.9703834677864958,-0.9701182451099569,1.7342210122778874,B 回踩20均线
MAGICUSDT,9,0.7547000351209199,6.792300316088279,2.9930215697979237,0.5555555555555556,3.7992787462903554,0.4406491807655555,1298,15105708.184235,1.2492491927893619,-0.965798826349285,-0.9815438134637081,-0.9805471981948101,1.9826558255396498,B 回踩20均线
API3USDT,9,0.7478060450777042,6.730254405699338,2.984384665996106,0.6666666666666666,3.7458697397032314,0.4434282103019552,1322,10511999.14481,1.207823101655261,-0.8135375494071146,-0.9597796738308673,-0.9592396587104439,3.1144312943507573,B 回踩20均线
