symbol,笔数,胜率,期望R,总R,多/空,止损宽度,币价涨跌,日均成交额,年化波动,rule
DASHUSDT,6,0.16666666666666666,-0.7375337882225971,-4.425202729335583,3/3,0.03382658629176895,-0.2856127044323299,12021984.316545,1.0061113041982235,B 回踩20均线
DODOXUSDT,2,0.0,-1.0095622250535135,-2.019124450107027,1/1,0.13988735244177222,-0.8255113192818111,2867753.12542,1.1183303835274154,B 回踩20均线
DOTUSDT,5,0.4,0.5645272640440896,2.822636320220448,1/4,0.06503471047095362,-0.8249370277078085,125685186.4425,0.7895402977534877,B 回踩20均线
DUSKUSDT,8,0.125,-0.5384184147960529,-4.307347318368423,3/5,0.07903144625986278,-0.25085574572127134,7930316.352645,1.2253632485020522,B 回踩20均线
DYMUSDT,4,0.0,-1.0175932007610275,-4.07037280304411,0/4,0.07738810468106472,-0.9974646658523818,8815154.51315,1.3285865957514036,B 回踩20均线
EDUUSDT,5,0.0,-1.0201410862527087,-5.100705431263544,2/3,0.0965395213482106,-0.9700919455682236,8419913.1231,1.138625909660472,B 回踩20均线
EGLDUSDT,7,0.2857142857142857,0.11463972384701135,0.8024780669290794,3/4,0.08810674119254654,-0.9193499392466585,11835760.86425,0.8295783828423049,B 回踩20均线
ENJUSDT,4,0.25,-0.42987104735531395,-1.7194841894212558,3/1,0.07138120552781639,-0.899135446685879,9804782.32978,1.0054826304367588,B 回踩20均线
ENSUSDT,8,0.125,-0.5320479750805212,-4.256383800644169,3/5,0.05749643548388116,-0.6274437815511702,24375467.0234,1.0053384825369789,B 回踩20均线
ETCUSDT,7,0.14285714285714285,-0.4907657903070642,-3.435360532149449,3/4,0.036689347346223485,-0.6064254483239339,87404013.73361,0.7322228510551164,B 回踩20均线
ETHFIUSDT,5,0.2,-0.23915775416344376,-1.1957887708172188,2/3,0.05866426098646232,-0.8560858424087123,60625017.055095,1.309956606441644,B 回踩20均线
ETHWUSDT,3,0.6666666666666666,1.64760385498088,4.94281156494264,1/2,0.06831544670527323,-0.9212579885637403,2712976.8242,1.0882647183390397,B 回踩20均线
FILUSDT,8,0.625,1.4676428494062892,11.741142795250314,3/5,0.03916709593472568,-0.7808757244043786,133843054.38069999,1.0174735850358523,B 回踩20均线
FLOWUSDT,6,0.6666666666666666,1.6363346812836037,9.818008087701623,3/3,0.05645988904428648,-0.9531354642313546,17081761.4157,0.9189415593278097,B 回踩20均线
GALAUSDT,7,0.5714285714285714,1.2616141385042454,8.831298969529717,4/3,0.05862726511963782,-0.9005334914048607,76961026.458125,1.0845588484491624,B 回踩20均线
GASUSDT,3,0.6666666666666666,1.6435401741088331,4.9306205223265,0/3,0.049155534197630545,-0.674547983310153,6941888.3947,1.0751485588095657,B 回踩20均线
GLMUSDT,2,0.5,0.9563026148714949,1.9126052297429899,0/2,0.0313179720856855,-0.7607965321051205,5992039.08473,0.986845176644462,B 回踩20均线
GMTUSDT,11,0.36363636363636365,0.42903570852593603,4.719392793785296,3/8,0.05299455640689663,-0.9737962577962578,32067472.988585003,1.004153601449041,B 回踩20均线
GMXUSDT,5,0.4,0.23558162134019542,1.1779081067009771,2/3,0.07628289772668165,-0.9191072731695451,7226720.70358,0.8765097739841516,B 回踩20均线
GRTUSDT,5,0.6,1.3636283118880752,6.8181415594403765,2/3,0.05479121515085694,-0.7605384342897626,22045720.50172,0.9833987274914805,B 回踩20均线
GTCUSDT,6,0.3333333333333333,0.3114660604552533,1.8687963627315198,3/3,0.07021255975160418,-0.9353307984790874,7414217.7919,1.0707750766063577,B 回踩20均线
HBARUSDT,9,0.1111111111111111,-0.6763466709397346,-6.087120038457611,3/6,0.03080818841211233,0.733421052631579,39491297.60261,1.021643124309312,B 回踩20均线
HOTUSDT,5,0.2,-0.37467823523113297,-1.873391176155665,3/2,0.0911196920285714,-0.775974930362117,6349641.8343345,0.8714105933934195,B 回踩20均线
ICPUSDT,6,0.3333333333333333,0.31202308082507657,1.8721384849504594,2/4,0.06567256320457972,-0.4413741598207618,33109393.505999997,0.9681858619702127,B 回踩20均线
ICXUSDT,4,0.25,-0.04671264154643939,-0.18685056618575757,2/2,0.05652288759873397,-0.8710084033613446,5339279.2743,0.84825574787872,B 回踩20均线
IDUSDT,5,0.2,-0.23095557747109963,-1.1547778873554981,3/2,0.04438853550390881,-0.9443057132046916,10811840.7676,1.1563587884326674,B 回踩20均线
ILVUSDT,5,0.4,0.3168310194076395,1.5841550970381977,0/5,0.05071205384682187,-0.9666909924937448,4841921.4938,1.0038365905462245,B 回踩20均线
IMXUSDT,9,0.3333333333333333,-0.022960423522439398,-0.2066438117019546,3/6,0.049905694990977266,-0.7184415584415584,19939483.21195,1.0343576869984779,B 回踩20均线
INJUSDT,7,0.2857142857142857,0.10688530075741287,0.7481971053018901,3/4,0.07564524328535606,2.357704402515723,88406066.5939,1.080894868333633,B 回踩20均线
IOSTUSDT,7,0.2857142857142857,0.07987929995551799,0.5591550996886259,3/4,0.03906595934960174,-0.9203059604560543,5315967.501429,0.7979502443181374,B 回踩20均线
IOTAUSDT,7,0.42857142857142855,0.4658326628048112,3.2608286396336785,2/5,0.042763158937500094,-0.8070971495055265,10346102.55603,0.8855798238321786,B 回踩20均线
IOTXUSDT,7,0.14285714285714285,-0.45853231523755866,-3.2097262066629106,3/4,0.05012325485291692,-0.8723285114325712,6641321.989275,0.9837922175497147,B 回踩20均线
IOUSDT,3,0.3333333333333333,0.3105167164953129,0.9315501494859388,0/3,0.047867996473452114,-0.9734277484397503,15965563.63802,1.2438890797951758,B 回踩20均线
JASMYUSDT,7,0.42857142857142855,0.5171177792772773,3.619824454940941,2/5,0.029840389648855204,0.19756468797564675,20746292.62714,1.1513545292685654,B 回踩20均线
JOEUSDT,5,0.6,1.3703928069266076,6.8519640346330375,2/3,0.04821945921826552,-0.9517085862966175,4622546.44095,1.0563353448108488,B 回踩20均线
JTOUSDT,7,0.42857142857142855,0.6804454901462863,4.7631184310240045,3/4,0.06487271914964322,-0.8409090909090909,37514560.4741,1.2304115880579058,B 回踩20均线
JUPUSDT,3,0.6666666666666666,1.097696714772847,3.2930901443185405,1/2,0.12216694418463248,-0.7443053250867401,43678568.8191,1.0710357586829784,B 回踩20均线
KASUSDT,4,0.25,-0.03832155621349709,-0.15328622485398835,0/4,0.037738191054384584,-0.8150759613287781,15219831.829935,0.8950236611717215,B 回踩20均线
KAVAUSDT,4,0.0,-1.0586751789745734,-4.234700715898294,1/3,0.02190524688306051,-0.9241932475284462,13721311.33103,0.8324140005087265,B 回踩20均线
KNCUSDT,8,0.0,-1.0365105049360048,-8.292084039488039,4/4,0.05423929173541364,-0.7815991237677985,6669821.777000001,0.9473071670411056,B 回踩20均线
KSMUSDT,8,0.125,-0.7117484829248398,-5.693987863398719,1/7,0.03725601358518214,-0.871969696969697,7739786.69335,1.055655729866574,B 回踩20均线
LINKUSDT,8,0.0,-1.0302026039700671,-8.241620831760537,3/5,0.055930637823266474,0.5936722360469249,225446827.94814998,0.8261046222920815,B 回踩20均线
LISTAUSDT,3,0.3333333333333333,0.30409577362519125,0.9122873208755737,2/1,0.07439446459342537,-0.9168277092314553,8468342.68055,1.3069000968981928,B 回踩20均线
LPTUSDT,7,0.14285714285714285,-0.46350128851564565,-3.2445090196095197,3/4,0.1129054919147591,-0.7382667539838463,14307597.89325,1.3404826685548894,B 回踩20均线
LQTYUSDT,6,0.3333333333333333,-0.1125304700807163,-0.6751828204842978,2/4,0.061382611274193186,-0.9076748796374965,9116477.6461,1.0994632901524855,B 回踩20均线
LSKUSDT,3,0.3333333333333333,0.28906814166917866,0.8672044250075359,0/3,0.0370271005808964,-0.938716744913928,2897453.614,0.9980043629765202,B 回踩20均线
