tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1h,30,long_only,0.06,-0.0908511334950272,-0.1882615909774269,-0.5312746178136236,355,0.5325474787164375,0.6574211971996757,0.28918309858064406,-0.3595308238055349,-1.416555477140099,-0.3703466870483543,-0.4344913763645969
1h,32,ls,0.0,-1.6157113183357559,-0.9007444598502196,-0.9087706687516518,1584,0.9985592665356909,-1.5134611368737014,-0.7452377078967333,-0.762608952980844,-1.805572330802009,-0.610399406716172,-0.6482317865890417
1h,32,ls,0.02,-1.2175158993703032,-0.836651433969335,-0.8676074284428079,1100,0.9985592665356909,-1.0595281507404997,-0.6378739896575352,-0.6895369679327724,-1.494220284233587,-0.5489178866876026,-0.6174253617508383
1h,32,ls,0.04,-0.9362139081009037,-0.7681829431159823,-0.8288760550779904,838,0.9985592665356909,-1.0131898257639314,-0.6247041304414919,-0.6580108849729969,-0.8213737506409219,-0.3823085312483684,-0.5631158230289828
1h,32,ls,0.06,-0.8688108579706739,-0.7478902362484489,-0.7903474139305532,692,0.9985592665356909,-1.0401836210825925,-0.6324871258696061,-0.6612409459877464,-0.5972345032335106,-0.31401106873305185,-0.4626001873992134
1h,32,long_only,0.0,-0.8304642165654265,-0.5586001691385467,-0.6872477723723401,792,0.5255621043440297,-0.10263671723960294,-0.13586148759557704,-0.4205456561835207,-2.1524865709664365,-0.4892024547855386,-0.5388810668683138
1h,32,long_only,0.02,-0.5303877676293498,-0.4337154991896456,-0.6558204858297787,550,0.5268718620388562,0.23265621725381455,0.03088353657288212,-0.41743498215042885,-1.892641625542905,-0.4506804302133509,-0.5075717612906387
1h,32,long_only,0.04,-0.315462821528227,-0.32707643518814633,-0.6008669412625938,419,0.5301025976860947,0.26376104368746955,0.04721302330557564,-0.38643231282350987,-1.354997918879452,-0.3574148240749153,-0.4545192895415604
1h,32,long_only,0.06,-0.2660610575003836,-0.2976061621351551,-0.5629869728570327,346,0.5257367387033399,0.24586610704201473,0.03778115879320931,-0.3942431757133278,-1.1712330570305793,-0.32317730774604714,-0.4140633022162974
1h,34,ls,0.0,-1.730620430481668,-0.9140976652897193,-0.9298448292231732,1508,0.9984719493560358,-2.0005075584876675,-0.8254331407015542,-0.8312930599369992,-1.307430012166497,-0.5079115528829056,-0.6197304379422908
1h,34,ls,0.02,-1.0373836457996704,-0.7958166697903203,-0.8410774045971559,1028,0.9984719493560358,-1.1372455875889425,-0.6593044259032712,-0.6922884661565412,-0.886068359461987,-0.40068687199409136,-0.56962904613474
1h,34,ls,0.04,-1.1107275613392278,-0.8136497685627897,-0.8568336169750139,800,0.9984719493560358,-1.2618752377718543,-0.6904448287922442,-0.7040377963265023,-0.875755229056019,-0.39800640154015887,-0.5774103141731499
1h,34,ls,0.06,-0.7247660201614032,-0.6983510652281326,-0.7691376384243761,646,0.9984719493560358,-1.0088045155952792,-0.6234894882406428,-0.6640436794195794,-0.26521225996659004,-0.19882997857796614,-0.44793784342373055
1h,34,long_only,0.0,-0.9182669093282855,-0.5907122987982691,-0.6607606029172235,754,0.5260860074219603,-0.4678018481609653,-0.2862391275423001,-0.4324317205266357,-1.732362351582728,-0.426575878567805,-0.4992237016943456
1h,34,long_only,0.02,-0.39635180223086447,-0.36931818558597074,-0.5843082293536292,514,0.5281816197336826,0.16840919830814663,-0.003819650095352567,-0.4003563211453154,-1.4100203517914824,-0.36689996497683075,-0.4650532086628755
1h,34,long_only,0.04,-0.45003053206364413,-0.39795624070366753,-0.606872749143128,400,0.5291421087098886,0.07715498110458593,-0.05096493641519273,-0.418939970456341,-1.3973839766864746,-0.36562537845311693,-0.4682959140882137
1h,34,long_only,0.06,-0.16093526700737482,-0.23432935617319284,-0.5108302439423236,323,0.5261733246016154,0.26212175135286225,0.04634878568049916,-0.38212497307159876,-0.9169626033031252,-0.2682452980257001,-0.40195058349757595
1h,36,ls,0.0,-1.4761677035154563,-0.8819723964795226,-0.8979805953961597,1514,0.9983846321763807,-1.616836392976777,-0.7648728471251993,-0.7678282958510039,-1.2632605980575797,-0.49802648448975884,-0.5848222680382875
